[2023-05-12T19:43:15.615510+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.615837+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.615837+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.616099+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.616450+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.618668+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.619131+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.625392+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.625819+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.627474+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.627474+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.627552+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.627786+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.627798+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.627798+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.632703+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.633012+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.640212+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.640562+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.640544+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.640544+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.640583+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.640847+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.640847+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.640935+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.645956+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.646300+00:00] main-logger.ERROR: Error Message {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.653014+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.653000+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.653016+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
[2023-05-12T19:43:15.653131+00:00] main-logger.INFO: START MEssage {"name":"atlas"} {"dummy":"Hello world!"}
